ORIGEN,NRO.,AÑO,TIPO,CARÁTULA,NRO. DAE / DADO CUENTA,MESA DE ENTRADAS,ORDEN DEL DÍA,SANCIONES/SITUACIÓN EXP,LEY – FECHA,COMUNICACIÓN,FECHA_ARCHIVO
PE,218,2026,AC,"MENSAJE N° 207/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 43, A LA DRA. PATRICIA LUJAN CISNERO.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,217,2026,AC,"MENSAJE N° 206/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 3, AL DR. DANIEL FERNANDO CANO.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,216,2026,AC,"MENSAJE N° 205/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSOR PUBLICO OFICIAL ANTE LOS TRIBUNALES ORALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, DEFENSORIA N° 6, AL DR. ESTEBAN JOSE CHERVIN.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,215,2026,AC,"MENSAJE N° 204/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSOR PUBLICO OFICIAL ANTE LOS TRIBUNALES ORALES EN LO CRIMINAL FEDERAL DE LA PLATA, PROV. DE BUENOS AIRES, DEFENSORIA N° 2, AL DR. LEANDRO GASTON.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,214,2026,AC,"MENSAJE N° 203/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL DE CATAMARCA, PROV. DE CATAMARCA, A LA DRA. MARIA VIRGINIA MIGUEL CARMONA.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,213,2026,AC,"MENSAJE N° 202/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA FEDERAL DE APELACIONES DE CORDOBA, PROV. DE CORDOBA, SALA A, A LA DRA. MARIA SOLEDAD MANCINI.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,212,2026,AC,"MENSAJE N° 201/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N° 22 DE LA CAPITAL FEDERAL, AL DR. JUAN SANTIAGO YLARRI.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,211,2026,AC,"MENSAJE N° 200/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 19 DE LA CAPITAL FEDERAL, AL DR. PABLO CESAR CINA.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,210,2026,AC,"MENSAJE N° 199/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO COMERCIAL N° 23 DE LA CAPITAL FEDERAL, AL DR. JUAN PABLO ANGEL SALA.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,209,2026,AC,"MENSAJE N° 198/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 12 DE LA CAPITAL FEDERAL, AL DR. WALTER ALFREDO CAVASSA.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,208,2026,AC,"MENSAJE N° 197/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL GENERAL ADJUNTO ANTE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, AL DR. GERMAN HELVIO QUEIPO.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,207,2026,AC,"MENSAJE N° 196/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSORA PUBLICA OFICIAL ANTE EL JUZGADO FEDERAL DE PRIMERA INSTANCIA DE DOLORES, PROV. DE BUENOS AIRES, A LA DRA. PAULA INES LO GIOIA.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,206,2026,AC,"MENSAJE N° 195/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSOR PUBLICO OFICIAL FEDERAL DEL INTERIOR DEL PAIS CON ASIENTO EN LA CDAD. DE SALTA, PROV. DE SALTA, AL DR. CARLOS NICOLAS ESCANDAR.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,205,2026,AC,"MENSAJE N° 194/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA FEDERAL DE APELACIONES DE CORDOBA, PROV. DE CORDOBA, SALA B, AL DR. FACUNDO CARLOS CORTES.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,204,2026,AC,"MENSAJE N° 193/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO COMERCIAL DE LA CAPITAL FEDERAL, SALA C, A LA DRA. VALERIA PÉREZ CASADO.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,203,2026,AC,"MENSAJE N° 192/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 38 DE LA CAPITAL FEDERAL, AL DR. ADOLFO OMAR PIENDIBENE.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,202,2026,AC,"MENSAJE N° 191/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 30 DE LA CAPITAL FEDERAL, AL DR. FEDERICO ALFREDO BATTILANA.", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,196,2026,AC,"MENSAJE N° 189/26 QUE SOLICITA ACUERDO PARA PROMOVER AL GRADO INMEDIATO SUPERIOR, A PERSONAL MILITAR SUPERIOR DE LA FUERZA AÉREA ARGENTINA, AL 31 DE DICIEMBRE DE 2025.", 22 16/07/2026 -, 04/06/2026 -,,              , - ,,
PE,195,2026,AC,"MENSAJE N° 190/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA FEDERAL DE APELACIONES DE SAN JUSTO, PROVINCIA DE BUENOS AIRES, AL DR. ANDRES GUILLERMO FRAGA.", 21 16/07/2026 -, 04/06/2026 -,,              , - ,,
PE,194,2026,AC,"MENSAJE N° 188/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N° 69 DE LA CAPITAL FEDERAL, A LA DRA. KARINA GABRIELA RAPKINAS.", 21 16/07/2026 -, 04/06/2026 -,,              , - ,,
PE,192,2026,AC,"MENSAJE N° 186/26, QUE SOLICITA EL RETIRO DEL MENSAJE Nº 42/26 POR EL CUAL SE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL N° 3 DE LA PLATA, PROVINCIA DE BUENOS AIRES, A LA DRA. MARIA VERONICA MICHELLI. 
(REF. P.E. 31/26)
", 20 04/06/2026 -, 27/05/2026 -,,              , - ,,
PE,191,2026,AC,"MENSAJE N° 185/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 27 DE LA CAPITAL FEDERAL, AL DR. MIGUEL ANGEL ASTURIAS

", 20 04/06/2026 -, 27/05/2026 -,,              , - ,,
PE,190,2026,AC,"MENSAJE N° 184/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 9 DE LA CAPITAL FEDERAL, AL DR. MARIANO ADOLFO KLUMPP", 20 04/06/2026 -, 27/05/2026 -, 219 2026 AP -,AP  16/07/2026            , - ,,
PE,189,2026,AC,"MENSAJE N° 183/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 42 DE LA CAPITAL FEDERAL, AL DR. DIEGO ANDRES VILLANUEVA.  ", 20 04/06/2026 -, 27/05/2026 -,,              , - ,,
PE,188,2026,AC,"MENSAJE N° 182/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DEL JUZGADO FEDERAL DE PRIMERA INSTANCIA DE LA SEGURIDAD SOCIAL N° 5 DE LA CAPITAL FEDERAL, A LA DRA. MARIA GABRIELA JANEIRO.", 20 04/06/2026 -, 27/05/2026 -, 218 2026 AP -,AP  16/07/2026            , - ,,
PE,183,2026,AC,"MENSAJE N° 177/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 14 DE LA CAPITAL FEDERAL, AL DR. JOSE IGNACIO POLIZZA.", 19 04/06/2026 -, 19/05/2026 -, 217 2026 AP -,AP  16/07/2026            , - ,,
PE,182,2026,AC,"MENSAJE N° 176/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DEL TRIBUNAL FEDERAL DE JUICIO DE COMODORO RIVADAVIA, PROV. DEL CHUBUT, A LA DRA. ANGELA CECILIA PAGANO MATA.", 19 04/06/2026 -, 19/05/2026 -,,              , - ,,
PE,181,2026,AC,"MENSAJE N° 175/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 54 DE LA CAPITAL FEDERAL, AL DR. RAMIRO ARIEL MARIÑO.", 19 04/06/2026 -, 19/05/2026 -,,              , - ,,
PE,173,2026,AC,"MENSAJE N° 174/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO COMERCIAL DE LA CAPITAL FEDERAL, SALA C, AL DR. JAVIER JORGE COSENTINO.", 18 04/06/2026 -, 15/05/2026 -, 216 2026 AP -,AP  16/07/2026            , - ,,
PE,172,2026,AC,"MENSAJE N° 173/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA FEDERAL DE APELACIONES DE ROSARIO, PROV. DE SANTA FE, SALA A, AL DR. FLORENTINO MALAPONTE.", 18 04/06/2026 -, 15/05/2026 -,,              , - ,,
PE,171,2026,AC,"MENSAJE N° 172/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL DE CATAMARCA, PROV. DE CATAMARCA, A LA DRA. ANA MARIA BUSLEIMAN.", 17 14/05/2026 -, 14/05/2026 -,,              , - ,,
PE,170,2026,AC,"MENSAJE N° 171/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL TRIBUNAL FEDERAL DE JUICIO DE COMODORO RIVADAVIA, PROV. DEL CHUBUT, AL DR. SEBASTIAN PEDRO RUIZ.

", 17 14/05/2026 -, 14/05/2026 -,,              , - ,,
PE,168,2026,AC,"MENSAJE N° 170/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL FEDERAL DE LA UNIDAD FISCAL MENDOZA, PROVINCIA DE MENDOZA, AL DR. FERNANDO GABRIEL ALCARAZ.", 16 14/05/2026 -, 13/05/2026 -, 215 2026 AP -,AP  16/07/2026            , - ,,
PE,167,2026,AC,"MENSAJE N° 169/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 58 DE LA CAPITAL FEDERAL, AL DR. MAXIMILIANO ALBERTO LEANDRO CALLIZO.", 16 14/05/2026 -, 13/05/2026 -,,              , - ,,
PE,166,2026,AC,"MENSAJE N° 168/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 44 DE LA CAPITAL FEDERAL, AL DR. SERGIO ALEJANDRO ECHEGARAY.

", 16 14/05/2026 -, 13/05/2026 -,,              , - ,,
PE,165,2026,AC,"MENSAJE N° 167/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO CIVIL DE LA CAPITAL FEDERAL, SALA K, AL DR. JUAN MANUEL CABRAL", 16 14/05/2026 -, 13/05/2026 -,,              , - ,,
PE,164,2026,AC,"MENSAJE N° 166/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 19 DE LA CAPITAL FEDERAL, A LA DRA. ALBERTINA ANATONIA CARON.", 16 14/05/2026 -, 13/05/2026 -,,              , - ,,
PE,163,2026,AC,"MENSAJE N° 165/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO COMERCIAL N° 28 DE LA CAPITAL FEDERAL, AL DR. PEDRO MANUEL CRESPO.", 16 14/05/2026 -, 13/05/2026 -, 214 2026 AP -,AP  16/07/2026            , - ,,
PE,162,2026,AC,"MENSAJE N° 164/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 45 DE LA CAPITAL FEDERAL, AL DR. SEBASTIAN RODRIGO GHERSI.

", 16 14/05/2026 -, 13/05/2026 -,,              , - ,,
PE,161,2026,AC,"MENSAJE N° 163/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL FEDERAL DE LA UNIDAD FISCAL DE RESISTENCIA, PROVINCIA DEL CHACO, AL DR. PATRICIO NICOLAS SABADINI.", 16 14/05/2026 -, 13/05/2026 -, 213 2026 AP -,AP  16/07/2026            , - ,,
PE,160,2026,AC,"MENSAJE N° 162/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA FEDERAL DE APELACIONES DE MAR DEL PLATA, PROV. DE BUENOS AIRES, AL DR. SANTIAGO JOSE MARTIN.

", 16 14/05/2026 -, 13/05/2026 -, 212 2026 AP -,AP  16/07/2026            , - ,,
PE,159,2026,AC,"MENSAJE N° 161/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA FEDERAL DE APELACIONES DE SALTA, PROV. DE SALTA, SALA I, AL DR. SANTIAGO FRENCH.", 16 14/05/2026 -, 13/05/2026 -, 211 2026 AP -,AP  16/07/2026            , - ,,
PE,158,2026,AC,"MENSAJE N° 160/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSORA PUBLICA OFICIAL ANTE LOS TRIBUNALES ORALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, DEFENSORIA N° 7, A LA DRA. AMANDA ESPINO.", 16 14/05/2026 -, 13/05/2026 -, 210 2026 AP -,AP  16/07/2026            , - ,,
PE,157,2026,AC,"MENSAJE N° 159/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 18 DE LA CAPITAL FEDERAL, A LA DRA. EVANGELINA MARIA LASALA.", 16 14/05/2026 -, 13/05/2026 -,,              , - ,,
PE,155,2026,AC,"MENSAJE N° 158/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N° 110 DE LA CAPITAL FEDERAL, AL DR. JOSE MARIA ABRAM LUJAN.", 15 14/05/2026 -, 12/05/2026 -,,              , - ,,
PE,154,2026,AC,"MENSAJE N° 157/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N° 109 DE LA CAPITAL FEDERAL, A LA DRA. PILAR FERNANDEZ ESCARGUEL.", 15 14/05/2026 -, 12/05/2026 -,,              , - ,,
PE,153,2026,AC,"MENSAJE N° 156/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL FEDERAL DE LA SEDE FISCAL DESCENTRALIZADA DE PASO DE LOS LIBRES, PROVINCIA DE CORRIENTES, AL DR. HUGO DANIEL FROY.", 15 14/05/2026 -, 12/05/2026 -, 208 2026 AP -,AP  16/07/2026            , - ,,
PE,152,2026,AC,"MENSAJE N° 155/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO FEDERAL DE PRIMERA INSTANCIA EN LO CRIMINAL Y CORRECCIONAL N° 2 DE LOMAS DE ZAMORA, PROVINCIA DE BUENOS AIRES, AL DR. JUAN TOMAS RODRIGUEZ PONTE.", 15 14/05/2026 -, 12/05/2026 -, 207 2026 AP -,AP  16/07/2026            , - ,,
PE,151,2026,AC,"MENSAJE N° 154/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N°19 DE LA CAPITAL FEDERAL, AL DR. SANTIAGO VILLAGRAN.", 15 14/05/2026 -, 12/05/2026 -,,              , - ,,
PE,150,2026,AC,"MENSAJE N° 153/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 18 DE LA CAPITAL FEDERAL, A LA DRA. PAULA VANESA ROMEO.
", 15 14/05/2026 -, 12/05/2026 -, 206 2026 AP -,AP  16/07/2026            , - ,,
PE,149,2026,AC,"MENSAJE N° 152/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 10 DE LA CAPITAL FEDERAL, AL DR. JULIO CESAR DI GIORGIO.", 15 14/05/2026 -, 12/05/2026 -,,              , - ,,
PE,148,2026,AC,"MENSAJE N° 151/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 9 DE LA CAPITAL FEDERAL, AL DR. JUAN CARLOS RICCARDINI.", 15 14/05/2026 -, 12/05/2026 -, 205 2026 AP -,AP  16/07/2026            , - ,,
PE,147,2026,AC,"MENSAJE N° 150/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL DE TUCUMAN, PROV. DE TUCUMAN, AL DR. ANGEL ROGER LUNA ROLDAN.", 14 14/05/2026 -, 11/05/2026 -, 204 2026 AP -,AP  16/07/2026            , - ,,
PE,146,2026,AC,"MENSAJE N° 149/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA FEDERAL DE APELACIONES DE RESISTENCIA, PROV. DEL CHACO, A LA DRA. MARIA VIRGINIA ISE.", 14 14/05/2026 -, 11/05/2026 -, 203 2026 AP -,AP  16/07/2026            , - ,,
PE,145,2026,AC,"MENSAJE N° 148/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL FEDERAL DE LA UNIDAD FISCAL DE CORRIENTES, PROV. DE CORRIENTES, AL DR. JUAN MARCELO BURELLA ACEVEDO.", 14 14/05/2026 -, 11/05/2026 -, 202 2026 AP -,AP  16/07/2026            , - ,,
PE,144,2026,AC,"MENSAJE N° 147/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL DE POSADAS, PROV. DE MISIONES, A LA DRA. RUTH MARIA PONCE DE LEON.

", 14 14/05/2026 -, 11/05/2026 -, 201 2026 AP -,AP  16/07/2026            , - ,,
PE,143,2026,AC,"MENSAJE N° 146/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL DE TUCUMAN, PROV. DE TUCUMAN, AL DR. PABLO ROBERTO TOLEDO.", 14 14/05/2026 -, 11/05/2026 -, 200 2026 AP -,AP  16/07/2026            , - ,,
PE,142,2026,AC,"MENSAJE N° 145/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, SALA III, AL DR. CLAUDIO FABIAN LOGUARRO.", 14 14/05/2026 -, 11/05/2026 -, 129 2026 AP -,AP  16/07/2026            , - ,,
PE,141,2026,AC,"MENSAJE N° 144/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, SALA V, AL DR. DIEGO FERNANDO MANAUTA.
", 14 14/05/2026 -, 11/05/2026 -, 128 2026 AP -,AP  16/07/2026            , - ,,
PE,140,2026,AC,"MENSAJE N° 143/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, SALA II, AL DR. DIEGO JAVIER TULA.", 14 14/05/2026 -, 11/05/2026 -, 127 2026 AP -,AP  16/07/2026            , - ,,
PE,139,2026,AC,"MENSAJE N° 142/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, SALA VI, A LA DRA. MARINA EDITH PISACCO.", 14 14/05/2026 -, 11/05/2026 -, 126 2026 AP -,AP  16/07/2026            , - ,,
PE,138,2026,AC,"MENSAJE N° 141/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, SALA X, A LA DRA. MARIA CLAUDIA JUEGUEN.", 14 14/05/2026 -, 11/05/2026 -, 125 2026 AP -,AP  16/07/2026            , - ,,
PE,137,2026,AC,"MENSAJE N° 140/26 QUE SOLICITA ACUERDO PARA POSIBILITAR UN NUEVO NOMBRAMIENTO DEL VOCAL DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL, SALA VIII, AL DR. VICTOR ARTURO PESINO", 14 14/05/2026 -, 11/05/2026 -, 124 2026 AP -,AP  16/07/2026            , - ,,
PE,136,2026,AC,"MENSAJE N° 139/26 QUE SOLICITA ACUERDO A FIN DE POSIBILITAR UN NUEVO NOMBRAMIENTO PARA DESIGNAR JUEZ DEL JUZGADO FEDERAL DE PRIMERA INSTANCIA N°2 DE SAN JUAN, PROVINCIA DE SAN JUAN, AL DR. LEOPOLDO JORGE RAGO GALLO.", 13 14/05/2026 -, 11/05/2026 -, 123 2026 AP -,AP  16/07/2026            , - ,,
PE,133,2026,AC,"MENSAJE N° 138/26 QUE SOLICITA ACUERDO PARA PROMOVER AL GRADO INMEDIATO SUPERIOR, AL 31 DE DICIEMBRE DE 2025, AL GENERAL DE BRIGADA SEBASTIAN IGNACIO IBAÑEZ.", 12 14/05/2026 -, 05/05/2026 -,,              , - ,,
